Div;Date;Time;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
SP1;18/09/2023;20:00:00;Granada;Girona;2;4;A;0;3;A;12;13;5;7;13;21;4;5;3;3;0;0
SP1;22/09/2023;20:00:00;Alaves;Ath Bilbao;0;2;A;0;1;A;15;11;5;3;13;9;3;4;2;2;0;0
SP1;23/09/2023;13:00:00;Girona;Mallorca;5;3;H;4;1;H;23;15;10;5;10;12;6;5;1;5;0;0
SP1;23/09/2023;15:15:00;Osasuna;Sevilla;0;0;D;0;0;D;16;15;2;3;11;7;7;4;2;3;0;0
SP1;23/09/2023;17:30:00;Barcelona;Celta;3;2;H;0;1;A;15;13;6;7;10;11;2;3;2;1;0;0
SP1;23/09/2023;20:00:00;Almeria;Valencia;2;2;D;0;1;A;17;7;10;5;12;10;8;3;4;2;0;0
SP1;24/09/2023;13:00:00;Sociedad;Getafe;4;3;H;1;2;A;10;10;6;7;13;24;2;1;3;2;0;0
SP1;24/09/2023;15:15:00;Vallecano;Villarreal;1;1;D;1;1;D;11;13;6;6;20;18;2;8;2;3;0;1
SP1;24/09/2023;17:30:00;Betis;Cadiz;1;1;D;0;1;A;21;5;7;1;10;14;11;8;2;3;0;0
SP1;24/09/2023;17:30:00;Las Palmas;Granada;1;0;H;0;0;D;10;2;3;1;13;19;6;7;6;4;1;0
SP1;24/09/2023;20:00:00;Ath Madrid;Real Madrid;3;1;H;2;1;H;10;20;4;5;13;10;6;11;1;3;0;0
SP1;26/09/2023;18:00:00;Sevilla;Almeria;5;1;H;3;0;H;18;10;9;1;15;16;9;4;3;2;0;0
SP1;26/09/2023;20:30:00;Mallorca;Barcelona;2;2;D;2;1;H;10;10;5;4;19;7;7;2;4;1;1;0
SP1;27/09/2023;18:00:00;Ath Bilbao;Getafe;2;2;D;1;0;H;9;13;4;5;9;19;5;4;5;6;1;0
SP1;27/09/2023;18:00:00;Real Madrid;Las Palmas;2;0;H;1;0;H;21;16;9;2;7;9;7;2;0;1;0;0
SP1;27/09/2023;18:00:00;Villarreal;Girona;1;2;A;0;0;D;14;17;3;5;9;11;5;6;3;2;0;0
SP1;27/09/2023;20:30:00;Cadiz;Vallecano;0;0;D;0;0;D;9;9;2;4;16;13;1;2;5;6;0;1
SP1;27/09/2023;20:30:00;Valencia;Sociedad;0;1;A;0;1;A;9;2;2;1;14;17;0;2;4;7;1;0
SP1;28/09/2023;18:00:00;Celta;Alaves;1;1;D;1;0;H;8;21;0;11;9;11;2;8;5;3;1;0
SP1;28/09/2023;18:00:00;Granada;Betis;1;1;D;0;0;D;19;13;7;3;14;10;5;7;2;1;0;0
SP1;28/09/2023;20:30:00;Osasuna;Ath Madrid;0;2;A;0;1;A;13;4;2;3;14;4;7;2;3;3;1;1
SP1;29/09/2023;20:00:00;Barcelona;Sevilla;1;0;H;0;0;D;18;12;5;3;11;15;13;3;2;3;0;0
SP1;30/09/2023;13:00:00;Getafe;Villarreal;0;0;D;0;0;D;22;3;9;0;19;11;6;4;2;4;0;1
SP1;30/09/2023;15:15:00;Vallecano;Mallorca;2;2;D;1;1;D;19;9;5;4;12;20;5;0;2;5;0;0
SP1;30/09/2023;17:30:00;Girona;Real Madrid;0;3;A;0;2;A;13;14;3;7;13;14;1;4;2;2;0;1
SP1;30/09/2023;20:00:00;Sociedad;Ath Bilbao;3;0;H;1;0;H;8;18;5;3;20;9;5;7;2;2;0;0
SP1;01/10/2023;13:00:00;Almeria;Granada;3;3;D;3;0;H;17;19;5;4;18;14;1;5;2;1;0;0
SP1;01/10/2023;15:15:00;Alaves;Osasuna;0;2;A;0;1;A;17;10;3;3;13;13;4;2;2;3;1;0
SP1;01/10/2023;20:00:00;Ath Madrid;Cadiz;3;2;H;1;2;A;18;8;9;4;5;10;5;3;1;3;0;0
SP1;01/10/2023;20:00:00;Betis;Valencia;3;0;H;1;0;H;15;9;7;2;11;10;5;3;2;2;0;0
SP1;02/10/2023;20:00:00;Las Palmas;Celta;2;1;H;0;0;D;16;11;5;3;13;14;4;5;2;1;0;0
SP1;06/10/2023;20:00:00;Ath Bilbao;Almeria;3;0;H;1;0;H;23;4;9;1;11;7;6;2;2;0;0;0
SP1;07/10/2023;13:00:00;Cadiz;Girona;0;1;A;0;0;D;8;20;2;5;12;13;5;5;1;3;1;0
SP1;07/10/2023;15:15:00;Real Madrid;Osasuna;4;0;H;1;0;H;19;7;9;1;9;6;5;4;2;2;0;0
SP1;07/10/2023;17:30:00;Mallorca;Valencia;1;1;D;1;1;D;9;11;5;3;17;11;3;6;2;1;0;0
SP1;07/10/2023;20:00:00;Sevilla;Vallecano;2;2;D;0;2;A;22;7;6;4;16;19;12;2;5;2;0;0
SP1;08/10/2023;13:00:00;Villarreal;Las Palmas;1;2;A;0;1;A;9;8;4;5;17;7;7;2;4;4;0;0
SP1;08/10/2023;15:15:00;Ath Madrid;Sociedad;2;1;H;1;0;H;14;13;5;4;9;12;1;4;3;3;0;0
SP1;08/10/2023;17:30:00;Alaves;Betis;1;1;D;1;1;D;15;6;5;2;13;9;5;3;3;3;0;1
SP1;08/10/2023;17:30:00;Celta;Getafe;2;2;D;2;2;D;26;3;11;2;14;20;13;1;1;8;0;1
SP1;08/10/2023;20:00:00;Granada;Barcelona;2;2;D;2;1;H;7;22;2;10;12;7;1;11;4;1;0;0
SP1;20/10/2023;20:00:00;Osasuna;Granada;2;0;H;1;0;H;12;13;6;3;19;13;1;7;3;4;0;1
SP1;21/10/2023;13:00:00;Sociedad;Mallorca;1;0;H;0;0;D;14;18;6;7;14;16;2;5;3;3;0;0
SP1;21/10/2023;15:15:00;Getafe;Betis;1;1;D;1;1;D;14;13;4;3;17;11;4;8;5;2;0;0
SP1;21/10/2023;17:30:00;Sevilla;Real Madrid;1;1;D;0;0;D;17;14;7;5;13;6;4;6;5;2;0;0
SP1;21/10/2023;20:00:00;Celta;Ath Madrid;0;3;A;0;1;A;16;12;3;7;10;10;7;5;3;2;1;0
SP1;22/10/2023;13:00:00;Las Palmas;Vallecano;0;1;A;0;0;D;12;12;6;4;13;11;10;5;4;3;0;1
SP1;22/10/2023;15:15:00;Girona;Almeria;5;2;H;3;2;H;19;9;8;5;11;14;9;6;1;2;0;0
SP1;22/10/2023;17:30:00;Villarreal;Alaves;1;1;D;0;0;D;12;16;3;7;15;10;9;3;4;3;0;0
SP1;22/10/2023;20:00:00;Barcelona;Ath Bilbao;1;0;H;0;0;D;12;10;7;3;11;18;4;7;3;3;0;0
SP1;23/10/2023;20:00:00;Valencia;Cadiz;2;0;H;2;0;H;12;5;4;4;16;16;4;6;0;3;0;1
SP1;27/10/2023;20:00:00;Girona;Celta;1;0;H;0;0;D;12;4;2;2;15;12;10;1;3;2;0;0
