Div;Date;Time;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
SP1;12/08/2022;20:00:00;Osasuna;Sevilla;2;1;H;1;1;D;12;10;5;3;16;9;5;2;5;3;0;0
SP1;13/08/2022;16:00:00;Celta;Espanol;2;2;D;1;0;H;8;10;3;2;17;15;3;3;5;2;0;0
SP1;13/08/2022;18:00:00;Valladolid;Villarreal;0;3;A;0;0;D;12;10;6;4;6;10;4;5;1;0;0;0
SP1;13/08/2022;20:00:00;Barcelona;Vallecano;0;0;D;0;0;D;21;4;6;2;16;14;8;0;3;6;1;0
SP1;14/08/2022;16:30:00;Cadiz;Sociedad;0;1;A;0;1;A;7;15;2;7;9;20;3;6;4;2;0;0
SP1;14/08/2022;18:30:00;Valencia;Girona;1;0;H;1;0;H;17;5;2;1;18;14;4;4;2;3;1;0
SP1;14/08/2022;21:00:00;Almeria;Real Madrid;1;2;A;1;0;H;10;29;6;15;11;4;2;15;3;1;0;0
SP1;15/08/2022;16:30:00;Ath Bilbao;Mallorca;0;0;D;0;0;D;23;6;6;2;13;12;7;2;0;6;0;0
SP1;15/08/2022;18:30:00;Getafe;Ath Madrid;0;3;A;0;1;A;10;12;0;5;14;19;3;6;2;1;0;0
SP1;15/08/2022;20:30:00;Betis;Elche;3;0;H;2;0;H;17;4;8;2;10;18;8;4;3;6;0;1
SP1;19/08/2022;19:00:00;Espanol;Vallecano;0;2;A;0;1;A;13;8;1;3;12;17;9;2;2;5;1;1
SP1;19/08/2022;21:00:00;Sevilla;Valladolid;1;1;D;0;0;D;18;6;2;3;20;10;12;2;3;2;1;1
SP1;20/08/2022;16:30:00;Osasuna;Cadiz;2;0;H;1;0;H;16;9;3;2;11;13;2;2;2;5;0;1
SP1;20/08/2022;18:30:00;Mallorca;Betis;1;2;A;0;1;A;13;8;7;3;22;17;5;2;7;8;0;0
SP1;20/08/2022;21:00:00;Celta;Real Madrid;1;4;A;1;2;A;15;16;2;7;12;8;2;2;2;2;0;0
SP1;21/08/2022;16:30:00;Ath Bilbao;Valencia;1;0;H;1;0;H;12;10;2;0;11;15;6;3;5;2;0;0
SP1;21/08/2022;18:30:00;Ath Madrid;Villarreal;0;2;A;0;0;D;13;19;5;5;8;11;5;6;2;3;1;0
SP1;21/08/2022;21:00:00;Sociedad;Barcelona;1;4;A;1;1;D;10;15;5;7;16;9;3;6;2;1;0;0
SP1;22/08/2022;19:00:00;Elche;Almeria;1;1;D;1;1;D;13;12;3;7;12;16;6;5;1;4;0;1
SP1;22/08/2022;21:00:00;Girona;Getafe;3;1;H;1;0;H;12;7;6;3;16;18;5;2;3;6;0;1
SP1;26/08/2022;19:00:00;Girona;Celta;0;1;A;0;0;D;11;11;3;6;16;13;2;4;2;1;0;0
SP1;26/08/2022;21:00:00;Betis;Osasuna;1;0;H;1;0;H;7;12;1;2;9;21;2;4;0;3;1;0
SP1;27/08/2022;16:30:00;Elche;Sociedad;0;1;A;0;1;A;12;9;5;5;13;18;4;6;3;3;0;0
SP1;27/08/2022;18:30:00;Vallecano;Mallorca;0;2;A;0;1;A;15;9;0;4;11;18;7;3;1;3;0;0
SP1;27/08/2022;21:00:00;Almeria;Sevilla;2;1;H;1;1;D;11;13;5;5;18;11;5;2;5;8;0;0
SP1;28/08/2022;16:30:00;Getafe;Villarreal;0;0;D;0;0;D;8;11;2;6;11;19;1;4;1;5;0;0
SP1;28/08/2022;18:30:00;Barcelona;Valladolid;4;0;H;2;0;H;24;8;9;3;9;8;14;4;0;3;0;0
SP1;28/08/2022;21:00:00;Espanol;Real Madrid;1;3;A;1;1;D;15;19;4;6;15;12;7;7;0;0;1;0
SP1;29/08/2022;19:00:00;Cadiz;Ath Bilbao;0;4;A;0;1;A;9;20;3;8;18;4;0;6;2;1;0;0
SP1;29/08/2022;21:00:00;Valencia;Ath Madrid;0;1;A;0;0;D;12;13;2;7;15;17;6;2;4;3;0;0
SP1;02/09/2022;20:00:00;Celta;Cadiz;3;0;H;0;0;D;9;7;5;0;13;23;2;2;1;2;0;0
SP1;03/09/2022;13:00:00;Mallorca;Girona;1;1;D;0;0;D;10;10;4;4;23;9;6;3;4;2;0;0
SP1;03/09/2022;15:15:00;Real Madrid;Betis;2;1;H;1;1;D;22;8;4;4;8;12;9;2;0;1;0;0
SP1;03/09/2022;17:30:00;Sociedad;Ath Madrid;1;1;D;0;1;A;12;15;5;7;18;13;7;7;5;4;0;0
SP1;03/09/2022;20:00:00;Sevilla;Barcelona;0;3;A;0;2;A;9;18;4;7;15;14;4;4;2;4;0;0
SP1;04/09/2022;13:00:00;Osasuna;Vallecano;2;1;H;0;0;D;13;5;6;3;14;16;4;0;2;2;0;0
SP1;04/09/2022;15:15:00;Ath Bilbao;Espanol;0;1;A;0;0;D;17;9;2;2;12;12;4;2;3;2;0;0
SP1;04/09/2022;17:30:00;Villarreal;Elche;4;0;H;2;0;H;18;7;10;0;10;9;6;4;1;3;0;0
SP1;04/09/2022;20:00:00;Valencia;Getafe;5;1;H;3;0;H;24;7;9;4;11;21;9;1;3;6;1;1
SP1;05/09/2022;20:00:00;Valladolid;Almeria;1;0;H;0;0;D;14;12;6;1;11;20;2;8;1;6;0;0
SP1;09/09/2022;20:00:00;Girona;Valladolid;2;1;H;1;1;D;14;14;5;4;11;15;3;12;0;2;0;0
SP1;10/09/2022;13:00:00;Vallecano;Valencia;2;1;H;1;0;H;14;17;6;4;22;11;7;7;5;2;0;0
SP1;10/09/2022;15:15:00;Espanol;Sevilla;2;3;A;1;3;A;19;11;5;7;11;14;9;3;3;5;0;1
SP1;10/09/2022;17:30:00;Cadiz;Barcelona;0;4;A;0;0;D;6;16;0;8;12;13;5;6;1;2;0;0
SP1;10/09/2022;20:00:00;Ath Madrid;Celta;4;1;H;1;0;H;10;14;4;3;11;6;4;7;2;3;0;0
SP1;11/09/2022;13:00:00;Real Madrid;Mallorca;4;1;H;1;1;D;22;5;7;2;7;15;4;3;3;5;0;0
SP1;11/09/2022;15:15:00;Elche;Ath Bilbao;1;4;A;0;4;A;9;16;2;8;15;9;5;5;3;0;0;0
SP1;11/09/2022;17:30:00;Getafe;Sociedad;2;1;H;1;0;H;8;13;3;6;9;16;3;7;4;1;0;0
SP1;11/09/2022;20:00:00;Betis;Villarreal;1;0;H;0;0;D;16;14;5;3;11;14;9;8;1;1;0;0
SP1;12/09/2022;20:00:00;Almeria;Osasuna;0;1;A;0;1;A;7;15;2;4;4;9;5;10;0;2;0;0
SP1;16/09/2022;20:00:00;Valladolid;Cadiz;0;1;A;0;0;D;18;7;6;1;12;19;8;2;1;4;0;0
SP1;17/09/2022;13:00:00;Mallorca;Almeria;1;0;H;1;0;H;5;9;2;3;15;14;5;2;3;6;0;0
