Div;Date;Time;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
SP1;12/09/2020;15:00:00;Eibar;Celta;0;0;D;0;0;D;8;6;1;3;17;13;3;3;4;4;1;0
SP1;12/09/2020;17:30:00;Granada;Ath Bilbao;2;0;H;0;0;D;4;9;2;2;8;10;1;2;3;4;0;0
SP1;12/09/2020;20:00:00;Cadiz;Osasuna;0;2;A;0;1;A;12;6;3;4;14;21;6;2;2;2;0;0
SP1;13/09/2020;13:00:00;Alaves;Betis;0;1;A;0;0;D;7;11;2;4;19;17;6;4;3;3;0;0
SP1;13/09/2020;15:00:00;Valladolid;Sociedad;1;1;D;1;0;H;8;8;3;2;15;17;5;3;4;1;0;0
SP1;13/09/2020;17:30:00;Villarreal;Huesca;1;1;D;0;1;A;15;10;4;3;10;22;6;6;1;1;0;0
SP1;13/09/2020;20:00:00;Valencia;Levante;4;2;H;2;2;D;14;19;8;8;9;14;3;4;1;3;0;0
SP1;19/09/2020;15:00:00;Villarreal;Eibar;2;1;H;0;0;D;14;12;8;4;5;12;4;3;1;1;0;0
SP1;19/09/2020;17:30:00;Getafe;Osasuna;1;0;H;0;0;D;7;10;1;3;19;13;4;1;4;2;0;0
SP1;19/09/2020;20:00:00;Celta;Valencia;2;1;H;1;0;H;23;9;6;3;12;13;6;6;3;1;0;0
SP1;20/09/2020;15:00:00;Huesca;Cadiz;0;2;A;0;1;A;4;6;0;4;18;23;2;1;3;3;0;0
SP1;20/09/2020;17:30:00;Betis;Valladolid;2;0;H;2;0;H;16;9;6;2;18;10;5;3;3;0;0;0
SP1;20/09/2020;17:30:00;Granada;Alaves;2;1;H;1;1;D;10;5;3;3;9;12;4;4;0;3;0;0
SP1;20/09/2020;20:00:00;Sociedad;Real Madrid;0;0;D;0;0;D;6;16;1;4;17;12;1;11;2;2;0;0
SP1;26/09/2020;12:00:00;Alaves;Getafe;0;0;D;0;0;D;9;11;0;4;13;13;1;5;2;2;0;0
SP1;26/09/2020;15:00:00;Valencia;Huesca;1;1;D;1;0;H;5;17;2;4;14;20;4;4;0;1;0;0
SP1;26/09/2020;17:30:00;Elche;Sociedad;0;3;A;0;0;D;5;27;2;7;11;12;2;11;3;1;0;0
SP1;26/09/2020;20:00:00;Betis;Real Madrid;2;3;A;2;1;H;15;11;5;4;9;10;8;3;5;2;1;0
SP1;27/09/2020;11:00:00;Osasuna;Levante;1;3;A;1;1;D;9;11;4;5;15;16;3;7;2;0;0;0
SP1;27/09/2020;13:00:00;Eibar;Ath Bilbao;1;2;A;0;1;A;7;9;1;5;15;12;5;4;1;0;0;0
SP1;27/09/2020;15:00:00;Ath Madrid;Granada;6;1;H;1;0;H;17;11;10;6;16;14;1;1;3;1;0;0
SP1;27/09/2020;17:30:00;Cadiz;Sevilla;1;3;A;0;0;D;12;14;5;5;9;14;6;5;4;2;0;0
SP1;27/09/2020;17:30:00;Valladolid;Celta;1;1;D;0;1;A;10;5;4;1;26;18;4;1;3;4;0;0
SP1;27/09/2020;20:00:00;Barcelona;Villarreal;4;0;H;4;0;H;17;5;9;1;9;10;8;4;0;1;0;0
SP1;29/09/2020;18:00:00;Sociedad;Valencia;0;1;A;0;0;D;11;9;3;5;16;15;9;3;1;5;0;0
SP1;29/09/2020;20:30:00;Getafe;Betis;3;0;H;3;0;H;8;10;4;2;15;17;1;4;4;4;0;1
SP1;30/09/2020;18:00:00;Huesca;Ath Madrid;0;0;D;0;0;D;9;16;3;2;13;10;5;7;1;0;0;0
SP1;30/09/2020;18:00:00;Villarreal;Alaves;3;1;H;2;1;H;10;8;6;3;11;13;2;0;0;2;0;0
SP1;30/09/2020;20:30:00;Eibar;Elche;0;1;A;0;1;A;12;5;4;2;9;14;3;2;2;2;0;0
SP1;30/09/2020;20:30:00;Real Madrid;Valladolid;1;0;H;0;0;D;15;11;5;5;11;7;4;7;2;1;0;0
SP1;01/10/2020;18:00:00;Ath Bilbao;Cadiz;0;1;A;0;0;D;13;3;4;1;15;16;5;2;3;5;0;2
SP1;01/10/2020;18:00:00;Sevilla;Levante;1;0;H;0;0;D;16;3;2;1;14;17;2;4;5;2;0;0
SP1;01/10/2020;20:30:00;Celta;Barcelona;0;3;A;0;1;A;10;6;3;3;22;10;3;7;5;5;0;1
SP1;03/10/2020;12:00:00;Valladolid;Eibar;1;2;A;1;1;D;9;11;3;5;11;21;3;4;2;3;0;1
SP1;03/10/2020;15:00:00;Ath Madrid;Villarreal;0;0;D;0;0;D;14;6;1;2;11;7;9;1;1;2;0;0
SP1;03/10/2020;17:30:00;Elche;Huesca;0;0;D;0;0;D;2;18;0;4;8;26;0;5;0;2;0;0
SP1;03/10/2020;17:30:00;Sociedad;Getafe;3;0;H;1;0;H;11;5;6;1;21;13;5;4;3;3;0;0
SP1;03/10/2020;20:00:00;Valencia;Betis;0;2;A;0;1;A;5;17;2;8;11;14;4;7;2;2;0;0
SP1;04/10/2020;11:00:00;Osasuna;Celta;2;0;H;1;0;H;14;9;5;3;19;10;6;5;3;3;0;0
SP1;04/10/2020;13:00:00;Alaves;Ath Bilbao;1;0;H;0;0;D;8;8;3;0;20;17;0;6;2;3;1;0
SP1;04/10/2020;15:00:00;Levante;Real Madrid;0;2;A;0;1;A;11;13;4;3;14;8;4;6;2;1;0;0
SP1;04/10/2020;17:30:00;Cadiz;Granada;1;1;D;0;1;A;14;13;4;5;16;16;2;5;2;2;0;0
SP1;04/10/2020;20:00:00;Barcelona;Sevilla;1;1;D;1;1;D;12;13;5;1;11;18;6;5;1;1;0;0
SP1;17/10/2020;12:00:00;Granada;Sevilla;1;0;H;0;0;D;13;8;3;3;16;11;5;1;4;4;0;1
SP1;17/10/2020;15:00:00;Celta;Ath Madrid;0;2;A;0;1;A;15;9;5;4;16;18;8;4;3;4;0;0
SP1;17/10/2020;17:30:00;Real Madrid;Cadiz;0;1;A;0;1;A;14;14;2;5;7;5;4;11;2;0;0;0
SP1;17/10/2020;20:00:00;Getafe;Barcelona;1;0;H;0;0;D;9;7;4;1;20;10;7;2;4;3;0;0
SP1;18/10/2020;11:00:00;Eibar;Osasuna;0;0;D;0;0;D;10;8;6;2;14;14;6;7;2;3;0;1
SP1;18/10/2020;13:00:00;Ath Bilbao;Levante;2;0;H;0;0;D;14;6;5;1;11;10;9;3;3;1;0;0
SP1;18/10/2020;15:00:00;Villarreal;Valencia;2;1;H;1;1;D;16;11;6;3;13;8;3;7;4;1;1;0
SP1;18/10/2020;17:30:00;Alaves;Elche;0;2;A;0;1;A;13;7;2;3;11;11;2;6;2;5;0;0
SP1;18/10/2020;17:30:00;Huesca;Valladolid;2;2;D;0;1;A;12;5;7;3;14;24;3;1;1;2;0;0
SP1;18/10/2020;20:00:00;Betis;Sociedad;0;3;A;0;1;A;7;8;1;5;11;18;6;2;2;1;0;0
SP1;23/10/2020;20:00:00;Elche;Valencia;2;1;H;2;0;H;3;14;2;4;15;8;0;7;3;2;0;0
SP1;24/10/2020;15:00:00;Barcelona;Real Madrid;1;3;A;1;1;D;10;15;4;9;11;13;7;7;3;2;0;0
SP1;24/10/2020;17:30:00;Osasuna;Ath Bilbao;1;0;H;0;0;D;7;13;2;5;18;10;2;5;3;2;0;0
SP1;24/10/2020;17:30:00;Sevilla;Eibar;0;1;A;0;1;A;21;3;3;1;11;12;13;3;0;3;0;0
SP1;24/10/2020;20:00:00;Ath Madrid;Betis;2;0;H;0;0;D;13;12;6;3;19;12;8;5;2;0;0;1
SP1;25/10/2020;13:00:00;Valladolid;Alaves;0;2;A;0;0;D;5;14;1;4;9;7;2;4;1;0;1;0
SP1;25/10/2020;15:00:00;Cadiz;Villarreal;0;0;D;0;0;D;5;7;0;2;15;7;0;5;2;2;0;0
SP1;25/10/2020;17:30:00;Getafe;Granada;0;1;A;0;1;A;10;5;1;2;19;23;6;1;4;2;0;0
SP1;25/10/2020;20:00:00;Sociedad;Huesca;4;1;H;1;0;H;13;6;6;4;12;11;4;5;2;1;0;0
SP1;26/10/2020;20:00:00;Levante;Celta;1;1;D;0;0;D;10;10;3;3;11;19;3;2;2;2;0;0
SP1;30/10/2020;20:00:00;Eibar;Cadiz;0;2;A;0;2;A;9;6;3;4;10;10;7;2;1;1;0;0
SP1;31/10/2020;13:00:00;Real Madrid;Huesca;4;1;H;2;0;H;13;9;6;2;16;9;6;3;0;2;0;0
SP1;31/10/2020;15:15:00;Ath Bilbao;Sevilla;2;1;H;0;1;A;16;7;5;3;17;19;6;1;5;5;0;0
SP1;31/10/2020;17:30:00;Osasuna;Ath Madrid;1;3;A;0;1;A;8;11;3;6;12;10;3;2;1;2;0;0
SP1;31/10/2020;20:00:00;Alaves;Barcelona;1;1;D;1;0;H;4;25;3;9;16;4;2;14;4;3;1;0
SP1;01/11/2020;13:00:00;Betis;Elche;3;1;H;2;0;H;17;4;10;2;13;12;1;1;2;1;0;0
SP1;01/11/2020;15:00:00;Celta;Sociedad;1;4;A;0;2;A;9;9;2;7;19;16;2;3;2;5;1;0
SP1;01/11/2020;17:30:00;Granada;Levante;1;1;D;1;1;D;5;19;2;4;7;14;2;8;2;3;1;0
SP1;01/11/2020;20:00:00;Valencia;Getafe;2;2;D;1;0;H;11;16;5;5;18;25;0;3;8;5;1;1
SP1;02/11/2020;20:00:00;Villarreal;Valladolid;2;0;H;2;0;H;11;11;5;1;13;13;6;4;1;3;0;0
SP1;06/11/2020;20:00:00;Elche;Celta;1;1;D;1;1;D;8;14;1;6;18;12;3;3;3;4;0;0
SP1;07/11/2020;13:00:00;Huesca;Eibar;1;1;D;0;1;A;14;8;6;3;16;30;4;3;2;0;0;0
SP1;07/11/2020;15:15:00;Barcelona;Betis;5;2;H;1;1;D;18;12;9;6;8;10;9;5;2;2;0;1
SP1;07/11/2020;17:30:00;Sevilla;Osasuna;1;0;H;0;0;D;9;10;1;2;11;19;3;0;2;3;0;0
SP1;07/11/2020;20:00:00;Ath Madrid;Cadiz;4;0;H;2;0;H;17;10;7;3;10;9;2;7;1;1;0;0
SP1;08/11/2020;13:00:00;Getafe;Villarreal;1;3;A;1;2;A;13;9;5;5;18;11;3;3;3;4;0;0
SP1;08/11/2020;15:15:00;Sociedad;Granada;2;0;H;2;0;H;22;2;9;1;8;11;15;0;2;1;1;0
SP1;08/11/2020;17:30:00;Levante;Alaves;1;1;D;0;1;A;18;6;5;2;12;16;12;1;1;6;0;1
SP1;08/11/2020;17:30:00;Valladolid;Ath Bilbao;2;1;H;1;0;H;7;17;4;2;23;11;2;11;4;2;0;0
SP1;08/11/2020;20:00:00;Valencia;Real Madrid;4;1;H;2;1;H;7;16;4;6;13;14;1;8;3;2;0;0
SP1;20/11/2020;20:00:00;Osasuna;Huesca;1;1;D;0;1;A;18;6;7;5;14;15;4;3;2;3;0;0
SP1;21/11/2020;13:00:00;Levante;Elche;1;1;D;1;0;H;13;11;5;5;15;11;5;4;1;4;0;0
SP1;21/11/2020;15:15:00;Villarreal;Real Madrid;1;1;D;0;1;A;13;6;1;1;16;14;4;2;1;2;0;0
SP1;21/11/2020;17:30:00;Sevilla;Celta;4;2;H;2;2;D;15;10;10;7;14;20;3;2;2;2;0;0
SP1;21/11/2020;20:00:00;Ath Madrid;Barcelona;1;0;H;1;0;H;9;13;2;4;12;6;8;8;4;0;0;0
SP1;22/11/2020;13:00:00;Eibar;Getafe;0;0;D;0;0;D;15;8;5;3;16;22;3;4;3;4;1;0
